RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_Y,VIDEO_FRAME_INDEX_START,VIDEO_FRAME_INDEX_END,VIDEO_NAME_START,VIDEO_NAME_END,CURRENT_IA_Jaw,CURRENT_IA_RightEyebrow,CURRENT_IA_LeftEyebrow,CURRENT_IA_Nose,CURRENT_IA_RightEye,CURRENT_IA_LeftEye,CURRENT_IA_Mouth,CURRENT_IA_Face,CURRENT_IA_Periocular,CURRENT_IA_LeftScreen,CURRENT_IA_RightScreen,CURRENT_IA_WholeScreen,CURRENT_IA_NonFace,CURRENT_Area_Jaw,CURRENT_Area_RightEyebrow,CURRENT_Area_LeftEyebrow,CURRENT_Area_Nose,CURRENT_Area_RightEye,CURRENT_Area_LeftEye,CURRENT_Area_Mouth,CURRENT_Area_Face,CURRENT_Area_Periocular,CURRENT_Area_LeftScreen,CURRENT_Area_RightScreen,CURRENT_Area_WholeScreen
sub01,1,198,2237.1,2119.3,982,988,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,90669.0,3697.2013549804688,3903.1197949219495,9391.199798583984,6464.2510986328125,6335.999069213867,18765.23387390189,242088.0,43991.39388149418,1036800.0,1036800.0,2073600.0
sub01,1,72,2353.4,2126.3,989,991,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,84534.5,3814.558469238691,3924.7189160156995,9484.800476074219,6236.999053955078,5998.502044677734,14908.92349060066,218350.0,42807.637836523354,1036800.0,1036800.0,2073600.0
sub01,1,52,2319.1,2159.2,994,995,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,84900.5,3985.1971252448857,4090.3233471680433,9633.600891113281,6299.999465942383,6124.501190185547,14754.477775879204,214920.0,43840.28437016532,1036800.0,1036800.0,2073600.0
sub01,1,130,2352.3,2066.4,996,1000,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,83391.0,4070.880296630785,4491.36022705026,9710.400695800781,6527.251739501953,6396.749038696289,14288.819849852473,216258.0,46297.595597460866,1036800.0,1036800.0,2073600.0
sub01,1,22,2390.8,2041.3,1001,1001,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,85906.5,3976.5603369139135,4309.919465332292,10147.200012207031,5447.250900268555,5366.251754760742,14429.222428588197,218350.0,43507.947157714516,1036800.0,1036800.0,2073600.0
sub01,1,722,2285.9,2006.5,1002,1024,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,89044.0,4252.320417480543,4494.958560790867,10270.79916381836,5834.250259399414,6032.249984741211,9774.955603638664,226512.0,41097.61633168906,1036800.0,1036800.0,2073600.0
sub01,1,190,2025.0,1873.1,1025,1030,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,89644.5,3831.8418237306178,4047.1210766602308,9610.798034667969,5550.750045776367,5818.497619628906,12399.662552488968,233814.0,39747.61117324233,1036800.0,1036800.0,2073600.0
sub01,1,22,2013.3,1986.4,1031,1032,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,89620.5,3578.401153564453,3846.9590551760048,9255.600616455078,5494.500427246094,5597.997665405273,15163.197973633185,239400.0,41376.13796472177,1036800.0,1036800.0,2073600.0
sub01,1,184,2006.8,1997.3,1034,1039,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,86537.0,4512.9565649414435,4439.520765380934,10306.796044921502,5505.7489013671875,5366.251754760742,8215.739037474617,222400.0,47970.165975708514,1036800.0,1036800.0,2073600.0
sub01,1,58,2002.5,2108.4,1041,1042,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,85324.5,4515.119959716685,4441.680461425334,10342.800598144531,5112.00080871582,4761.002426147461,9137.701119994745,218426.0,45467.9325158447,1036800.0,1036800.0,2073600.0
