RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_X	CURRENT_FIX_Y	VIDEO_FRAME_INDEX_START	VIDEO_FRAME_INDEX_END	VIDEO_NAME_START	VIDEO_NAME_END
sub02	1	52	846.40	445.00	318	320	demo_video.mp4	demo_video.mp4
sub02	1	1508	858.50	458.20	321	366	demo_video.mp4	demo_video.mp4
sub02	1	326	1244.70	1251.40	368	377	demo_video.mp4	demo_video.mp4
sub02	1	40	941.10	1532.60	379	381	demo_video.mp4	demo_video.mp4
sub02	1	142	942.80	1390.80	382	387	demo_video.mp4	demo_video.mp4
sub02	1	22	936.50	1372.60	387	388	demo_video.mp4	demo_video.mp4
sub02	1	22	935.00	1500.20	389	389	demo_video.mp4	demo_video.mp4
sub02	1	304	934.80	1374.60	390	399	demo_video.mp4	demo_video.mp4
sub02	1	398	329.70	1420.80	401	413	demo_video.mp4	demo_video.mp4
sub02	1	216	1013.60	969.20	415	421	demo_video.mp4	demo_video.mp4
sub02	1	330	973.90	678.70	422	432	demo_video.mp4	demo_video.mp4
sub02	1	190	993.60	543.70	433	438	demo_video.mp4	demo_video.mp4
sub02	1	596	906.30	529.20	439	457	demo_video.mp4	demo_video.mp4
sub02	1	732	1052.10	537.80	458	480	demo_video.mp4	demo_video.mp4
sub02	1	296	-99.00	1869.60	626	635	demo_video.mp4	demo_video.mp4
sub02	1	176	531.10	1147.50	637	642	demo_video.mp4	demo_video.mp4
sub02	1	92	684.00	694.30	644	647	demo_video.mp4	demo_video.mp4
sub02	1	66	715.90	712.50	647	649	demo_video.mp4	demo_video.mp4
sub02	1	1402	885.50	489.00	650	692	demo_video.mp4	demo_video.mp4
sub02	1	668	981.90	444.30	692	713	demo_video.mp4	demo_video.mp4
sub02	1	242	1386.80	1561.40	832	839	demo_video.mp4	demo_video.mp4
sub02	1	84	1041.10	572.30	841	843	demo_video.mp4	demo_video.mp4
sub02	1	62	1588.60	421.30	851	853	demo_video.mp4	demo_video.mp4
sub02	1	26	1562.00	347.60	856	856	demo_video.mp4	demo_video.mp4
sub02	1	24	1756.30	589.70	860	861	demo_video.mp4	demo_video.mp4
sub02	1	38	1679.10	413.70	862	863	demo_video.mp4	demo_video.mp4
sub02	1	534	825.60	450.10	864	880	demo_video.mp4	demo_video.mp4
sub02	1	970	1008.70	678.90	881	910	demo_video.mp4	demo_video.mp4
sub02	1	408	968.70	534.80	911	923	demo_video.mp4	demo_video.mp4
sub02	1	28	936.40	511.50	924	925	demo_video.mp4	demo_video.mp4
sub02	1	166	914.00	488.10	926	931	demo_video.mp4	demo_video.mp4
sub02	1	140	889.80	507.60	931	935	demo_video.mp4	demo_video.mp4
sub02	1	60	911.30	521.20	936	938	demo_video.mp4	demo_video.mp4
sub02	1	132	947.30	459.00	938	942	demo_video.mp4	demo_video.mp4
sub02	1	28	885.10	531.90	981	982	demo_video.mp4	demo_video.mp4
sub02	1	238	38.10	457.60	1084	1091	demo_video.mp4	demo_video.mp4
sub02	1	238	766.70	527.60	1093	1100	demo_video.mp4	demo_video.mp4
sub02	1	246	825.00	443.50	1100	1108	demo_video.mp4	demo_video.mp4
